NUM_VEHICLES	TRUCK_COST	TRUCK_SPEED	KM_COST	X_DEPOT	Y_DEPOT	TW_E	TW_L
25	81	46	88	3.0	2.93	540	1290

LOCKER_ID	X	Y	AV_CAPAC.

SHOP_ID	X	Y	TW_E1	TW_L1	TW_E2	TW_L2	AV_CAPAC.

ORDER_ID	WEIGHT	VOLUME	PRIORITY	DP_ID	X	Y	TW_PROBABILITIES
O1	6	7	1	H1900	2.37	3.76	690,870,0.25
O1	6	7	2	H1188	4.71	0.92	720,900,0.37
O1	6	7	3	H757	0.74	5.64	840,1020,0.46
O2	1	10	1	H1098	0.03	3.93	1020,1200,0.73
O2	1	10	2	H198	1.84	1.57	1050,1230,0.36
O2	1	10	3	H53	0.84	1.75	840,1020,0.81
O3	5	2	1	H1898	3.78	3.28	630,810,0.42
O3	5	2	2	H120	5.67	2.6	960,1140,0.93
O3	5	2	3	H817	0.35	2.75	720,900,0.98
O4	10	3	1	H2556	1.23	4.8	960,1140,0.69
O4	10	3	2	H229	5.8	4.05	900,1080,0.57
O4	10	3	3	H1824	0.61	1.97	600,780,0.22
O5	10	7	1	H1120	5.25	3.92	660,840,0.52
O5	10	7	2	H2588	2.13	1.88	960,1140,0.95
O5	10	7	3	H1422	4.37	2.16	690,870,0.58
O6	6	7	1	H759	3.14	0.52	1020,1200,0.47
O6	6	7	2	H2417	0.57	0.56	600,780,0.34
O6	6	7	3	H1255	0.63	0.46	1020,1200,0.25
O7	5	10	1	H937	5.82	3.39	690,870,0.97
O7	5	10	2	H1660	4.63	4.5	870,1050,0.24
O7	5	10	3	H1043	3.53	4.14	570,750,0.35
O8	8	4	1	H1172	2.26	2.74	1050,1230,0.27
O8	8	4	2	H2474	3.71	1.58	570,750,0.65
O8	8	4	3	H76	2.61	4.55	1020,1200,0.28
O9	5	4	1	H2977	3.65	1.62	690,870,0.27
O9	5	4	2	H1204	0.46	3.02	600,780,0.58
O9	5	4	3	H2106	4.9	3.16	1020,1200,0.82
O10	8	6	1	H1311	4.84	1.07	1080,1260,0.23
O10	8	6	2	H1424	1.68	0.97	960,1140,0.38
O10	8	6	3	H2974	5.1	0.29	540,720,0.34
O11	10	6	1	H1664	1.41	4.53	840,1020,0.7
O11	10	6	2	H2920	4.67	1.82	840,1020,0.52
O11	10	6	3	H1682	1.19	1.1	690,870,0.32
O12	5	6	1	H2682	2.51	1.12	690,870,0.66
O12	5	6	2	H1463	4.06	1.5	960,1140,0.68
O12	5	6	3	H1061	3.83	0.08	630,810,0.68
O13	6	8	1	H1686	2.06	2.82	840,1020,0.49
O13	6	8	2	H2691	5.85	2.38	870,1050,0.44
O13	6	8	3	H32	0.04	0.97	870,1050,0.2
O14	3	10	1	H2916	5.91	3.01	690,870,0.22
O14	3	10	2	H390	1.54	1.42	540,720,0.85
O14	3	10	3	H1240	2.35	1.55	630,810,0.41
O15	10	4	1	H1123	0.52	3.51	720,900,0.45
O15	10	4	2	H2779	0.2	2.23	660,840,0.98
O15	10	4	3	H2661	2.83	0.12	1080,1260,0.78
O16	10	3	1	H2390	3.8	1.66	1080,1260,0.38
O16	10	3	2	H815	0.24	5.4	570,750,0.72
O16	10	3	3	H883	1.76	5.92	660,840,0.82
O17	6	2	1	H2559	2.02	5.29	840,1020,0.61
O17	6	2	2	H799	5.14	0.35	720,900,0.45
O17	6	2	3	H2377	3.79	2.86	630,810,0.59
O18	9	7	1	H1558	3.48	4.23	660,840,0.98
O18	9	7	2	H2831	3.79	1.92	570,750,0.98
O18	9	7	3	H2973	4.01	0.81	630,810,0.54
O19	4	4	1	H1058	3.69	5.37	840,1020,0.63
O19	4	4	2	H1879	3.39	4.88	630,810,0.89
O19	4	4	3	H2382	4.84	0.6	900,1080,0.7
O20	3	7	1	H2054	5.09	1.42	1050,1230,0.64
O20	3	7	2	H2519	2.67	2.9	660,840,0.36
O20	3	7	3	H84	0.7	1.33	570,750,0.34
O21	4	5	1	H6	0.57	4.87	720,900,0.86
O21	4	5	2	H1454	0.94	4.92	720,900,0.45
O21	4	5	3	H1813	4.96	5.64	870,1050,0.78
O22	1	8	1	H1702	4.59	2.54	840,1020,0.92
O22	1	8	2	H2401	3.32	2.77	720,900,0.83
O22	1	8	3	H473	0.87	1.05	1020,1200,0.65
O23	6	8	1	H58	0.25	2.02	960,1140,0.47
